CollectibleId,Title,Sport,Purchase Price (USD),Purchase Date MM-DD-YYYY,Player,Set,Year,Card Manufacturer,Card Number,Card Condition,Professional Grader,Grade,Certification Number,Exclude
140f89b3-de7e-388c-95d8-552c0f6552be,2021-22 Panini Mosaic GABRIEL MARTINELLI Auto Rookie PSA 10 / AUTO 10 Arsenal 💎,Soccer,290.0,10-08-2023,,2021 Panini Mosaic,,,,,,,,
33d3c8e6-76c0-3fd8-bb9a-1b5357447eae,2020 Erling Haaland Signed Autographed Topps BVB Borussia Dortmund Card Beckett,Soccer,300.0,10-23-2023,,2020,,Topps,,,,,,
2b496d9f-4b90-354b-afce-0dd8a9f1c808,2020 PANINI CHRONICLES PRIZM BUKAYO SAKA SEALED SILVER AUTO 91/99,Soccer,230.0,07-15-2023,,2020 Panini Chronicles,,,,Very Good,,,,
caa15d3f-0724-487f-88cc-7704d76ab244,Bukayo Saka #11 Silver /99 Autograph 2020-21 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Bukayo Saka,2020-21 Panini Chronicles Soccer,2022,,11,,,,,
9b345205-5962-4455-8a2b-634c7cc8dd7b,Erling Haaland #25 /99 2020-21 Topps Merlin Chrome UEFA Champions League,Soccer,1.0,10-18-2023,Erling Haaland,2020-21 Topps Merlin Chrome UEFA Champions League,2022,,25,,,,,
c03f3866-0933-3c4f-9f12-b574e4136d03,Jude Bellingham 2020-21 Topps Rookie Chrome Bundesliga Soccer Signed Beckett 1,Soccer,175.0,11-06-2023,,2020-21 Topps Chrome Bundesliga,,,,Mint,,,,
a66ea27e-1e6e-336b-bb6e-38bf107fab26,2021 Panini Immaculate Soccer Erling Haaland /49 #23,Soccer,84.0,10-03-2023,,2021 Panini,,,23,,,,,
0d0eff11-9305-4449-8917-02b3a2e3d8d5,Lionel Messi #21 /299 Patch 2020-21 Panini Chronicles Soccer,Soccer,1.0,10-16-2023,Lionel Messi,2020-21 Panini Chronicles Soccer,2022,,21,,,,,
2907fd82-c222-3741-b9a1-e7a35a889913,2020-21 Panini Violet Breakaway Prizm PL Soccer #40 Bukayo Saka /99 PSA 9 MINT,Soccer,103.28,08-21-2023,,,,,,,,,,
23a367e8-96c8-4fb5-a66c-bd7ce5574821,Harry Kane #149 Future Star 2014-15 Topps Premier Club,Soccer,1.0,10-18-2023,Harry Kane,2014-15 Topps Premier Club,2022,,149,,,,,
f87eeee8-e592-483a-921e-2576081e06a0,Armando Broja #108 White Sparkle 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Armando Broja,2021-22 Panini Prizm Premier League,2022,,108,,,,,
0d14c9d1-abf7-485a-95bb-80b9e12e656b,Jude Bellingham #FF-6 Finest Futures /200 Autograph 2021-22 Topps Finest UCL,Soccer,1.0,10-18-2023,Jude Bellingham,2021-22 Topps Finest UEFA Champions League,2022,,FF-6,,,,,Y
1f1b50df-9b43-4815-a717-2e652cbc252a,Kaoru Mitoma #196 Pink /99 2022-23 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Kaoru Mitoma,2022-23 Panini Prizm Premier League,2022,,196,,,,,
0dea865b-8e22-43cb-b806-e6aa7127ce82,Brenden Aaronson #1 2021 Panini US National Team,Soccer,1.0,10-18-2023,Brenden Aaronson,2021 Panini US National Team,2022,,1,,,,,
5a408622-b7a9-4cdd-b048-fbc9c6927431,Brenden Aaronson #1 2021 Panini US National Team,Soccer,1.0,10-18-2023,Brenden Aaronson,2021 Panini US National Team,2022,,1,,,,,
d072c4e1-55c0-3aee-9b8f-63fffa9b8601,2021 Panini Brenden Aaronson 1st USMNT Soccer Card USA NATIONAL TEAM Rookie,Soccer,6.95,08-21-2022,IN TITLE,Panini Instant,2021,PANINI,1,Mint,,,,Y
45b77db0-0727-4e45-9020-d52d98e24daa,Marcus Rashford #130 Die Cut /249 2017-18 Panini Select Soccer,Soccer,1.0,10-18-2023,Marcus Rashford,2017-18 Panini Select Soccer,2022,,130,,,,,
364137b9-0116-4240-b7c1-c15be6020966,Cristiano Ronaldo #AT-CR7 Atomic Material /149 Patch 2020-21 Panini Obsidian,Soccer,1.0,10-18-2023,Cristiano Ronaldo,2020-21 Panini Obsidian Soccer,2022,,AT-CR7,,,,,Y
906a81fc-0104-4744-8477-6a0725c0952f,Julian Alvarez #69 /115 2022-23 Panini Obsidian Soccer,Soccer,1.0,10-18-2023,Julian Alvarez,2022-23 Panini Obsidian Soccer,2022,,69,,,,,
e25b62a3-6964-3d6c-87e5-0799fdd1b249,ENGLAND Arsenal 2020 Bukayo Saka /135 Panini Red Prizm Rookie RC,Soccer,72.5,08-12-2023,,,,,,,,,,
bf2538e6-2edc-3aa9-b2fb-468550d84632,2020-21 Panini prizm soccer Bukayo Saka red mosaic /159 Arsenal,Soccer,37.0,10-13-2023,,2020-21 Panini Prizm,,,,,,,,
019fd539-fbe1-3e3e-8806-c90823ec9411,2022-23 Bukayo Saka & Gabriel Martinelli Topps Jade Orange Arsenal Card 14/25,Soccer,70.0,11-20-2023,Emile Smith-Rowe,2022 Panini Prizm,1994,Panini,14,MINT,,10,,Y
83cf05c4-1be5-4ed9-8b02-095a4d927980,Gabriel Martinelli #19 New Era 2022 Panini Prizm World Cup,Soccer,1.0,10-18-2023,Gabriel Martinelli,2022 Panini Prizm World Cup,2022,,19,,,,,
74dd02b8-af33-4244-a8ce-0ff0a56796e0,Gabriel Martinelli #19 New Era 2022 Panini Prizm World Cup,Soccer,1.0,10-18-2023,Gabriel Martinelli,2022 Panini Prizm World Cup,2022,,19,,,,,
c630df70-a490-4461-90c8-d4e2f2bc59ed,Khvicha Kvaratskhelia #118 Blue /49 2022-23 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Khvicha Kvaratskhelia,2022-23 Panini Chronicles Soccer,2022,,118,,,,,
5885d077-a21c-3601-b126-eb675d66355c,2020/21 Bukayo Saka /99 Topps Merlin Chrome Green Refractor Rookie RC,Soccer,40.0,11-07-2023,,2020 Topps Chrome,,,,,,,,
