ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
1,Liam Moore,#N/A,Future Star,,,,,,145,2014-15 Topps Premier Club,,,,,,,,,
2,Kasper Schmeichel,#N/A,Base,,,,,,50,2014-15 Topps Premier Club,,,,,,,,,
3,Victor Moses,#N/A,Base,,,,,,101,2014-15 Topps Premier Club,,,,,,,,,
4,Gabriel Agbonlahor,#N/A,Base,,,,,,14,2014-15 Topps Premier Club,,,,,,,,,
5,Phil Badsley,#N/A,Base,,,,,,99,2014-15 Topps Premier Club,,,,,,,,,
6,Leicester City Badge,#N/A,Base,,,,,,188,2014-15 Topps Premier Club,,,,,,,,,
7,Yaya Toure,40,Base,,,,,,69,2014-15 Topps Premier Club,,,,,,,,,
8,Carlos Sanchez,#N/A,Base,,,,,,12,2014-15 Topps Premier Club,,,,,,,,,
9,Jonas Hector,#N/A,Mezzanine - Tri-Color,,,,,,174,2020 Panini Select UEFA Euro,,,,,,,,,
10,Jordan Henderson,#N/A,Base,,,,,,4,2021-22 Topps Chrome UEFA Champions League Match Attax,,,,,,,,,
11,Trent Alexander-Arnold,#N/A,Base,,,,,,2,2021-22 Topps Chrome UEFA Champions League Match Attax,,,,,,,,,
12,Steve Mandanda,#N/A,Man of the Match,,,,,,190,2021-22 Topps Chrome UEFA Champions League Match Attax,,,,,,,,,
13,Dimitri Payet,#N/A,Star Player,,,,,,174,2021-22 Topps Chrome UEFA Champions League Match Attax,,,,,,,,,
14,Ahmed Elmohamady,#N/A,Base,,,,,,269,2019-20 Panini Prizm Premier League,,,,,,,,,
15,Wayne Routledge,#N/A,Base,,,,,,119,2014-15 Topps Premier Club,,,,,,,,,
16,Manchester City Badge,#N/A,Base,,,,,,190,2014-15 Topps Premier Club,,,,,,,,,
17,Sebastien Pocognoli,#N/A,Base,,,,,,129,2014-15 Topps Premier Club,,,,,,,,,
18,Chris Brunt,#N/A,Base,,,,,,130,2014-15 Topps Premier Club,,,,,,,,,
19,Branislav Ivanovic,#N/A,Base,,,,,,22,2014-15 Topps Premier Club,,,,,,,,,
20,Fran Beltran,#N/A,Red Parrallel,,,,,,427,2019-20 Panini Chronicles Soccer,,,,,,,,,
21,Joel Ward,#N/A,Base,,,,,,30,2014-15 Topps Premier Club,,,,,,,,,
22,Scott Dann,#N/A,Base,,,,,,31,2014-15 Topps Premier Club,,,,,,,,,
23,Nemanja Matic,#N/A,Base,,,,,,25,2014-15 Topps Premier Club,,,,,,,,,
24,Thibaut Courtois,31,Futre Star,,,,,,142,2014-15 Topps Premier Club,,,,,,,,,
25,Angel Rangel,#N/A,Base,,,,,,113,2014-15 Topps Premier Club,,,,,,,,,
26,Nathan Dyer,#N/A,Base,,,,,,118,2014-15 Topps Premier Club,,,,,,,,,
27,Matty James,#N/A,Base,,,,,,54,2014-15 Topps Premier Club,,,,,,,,,
28,Ron Vlaar,#N/A,Base,,,,,,9,2014-15 Topps Premier Club,,,,,,,,,
29,Jack Rodwell,#N/A,Base,,,,,,109,2014-15 Topps Premier Club,,,,,,,,,
30,John O'Shea,#N/A,Base,,,,,,107,2014-15 Topps Premier Club,,,,,,,,,
31,Alex Song,#N/A,Superstar,,,,,,170,2014-15 Topps Premier Club,,,,,,,,,
32,David Nugent,#N/A,Base,,,,,,55,2014-15 Topps Premier Club,,,,,,,,,
33,Patrick Van Aanholt,#N/A,Base,,,,,,108,2014-15 Topps Premier Club,,,,,,,,,
34,Danny Drinkwater,#N/A,Base,,,,,,53,2014-15 Topps Premier Club,,,,,,,,,
35,Jordi Gomez,#N/A,Base,,,,,,111,2014-15 Topps Premier Club,,,,,,,,,
36,Vito Mannone,#N/A,Base,,,,,,106,2014-15 Topps Premier Club,,,,,,,,,
37,Mile Jedinak,#N/A,Base,,,,,,32,2014-15 Topps Premier Club,,,,,,,,,
38,Crystal Palace Badge,#N/A,Base,,,,,,185,2014-15 Topps Premier Club,,,,,,,,,
39,David Silva,#N/A,Base,,,,,,67,2014-15 Topps Premier Club,,,,,,,,,
40,Julian Speroni,#N/A,Base,,,,,,29,2014-15 Topps Premier Club,,,,,,,,,
41,Paulo Zabaleta,#N/A,Base,,,,,,65,2014-15 Topps Premier Club,,,,,,,,,
42,Jaseon Puncheon,#N/A,Base,,,,,,34,2014-15 Topps Premier Club,,,,,,,,,
43,Edin Dzeko,#N/A,Base,,,,,,70,2014-15 Topps Premier Club,,,,,,,,,
44,Esteban Cambiassio,#N/A,International Star,,,,,,174,2014-15 Topps Premier Club,,,,,,,,,
45,Wes Morgan,#N/A,Base,,,,,,51,2014-15 Topps Premier Club,,,,,,,,,
46,Eliquaim Mangala,#N/A,Base,,,,,,66,2014-15 Topps Premier Club,,,,,,,,,
47,Samir Nasri,#N/A,Base,,,,,,68,2014-15 Topps Premier Club,,,,,,,,,
48,Fraizer Campbell,#N/A,Base,,,,,,35,2014-15 Topps Premier Club,,,,,,,,,
49,Yannick Bolasie,#N/A,Base,,,,,,33,2014-15 Topps Premier Club,,,,,,,,,
50,Alberto Aquilani,#N/A,Base,,,,,,556,2010-11 Futera Unique World Football,,,,,,,,,
51,Daniel Agger,38,Base,,,,,,453,2010-11 Futera Unique World Football,,,,,,,,,
52,Demarcus Beasley,#N/A,Base,,,,,,557,2010-11 Futera Unique World Football,,,,,,,,,
53,Yuki Abe,#N/A,Ruby,,,,,,451,2010-11 Futera Unique World Football,,,,,,,,,
54,Diego Benaglio,#N/A,Ruby,,,,,,405,2010-11 Futera Unique World Football,,,,,,,,,
55,Vladimir Gabulov,#N/A,Base,,,,,,419,2010-11 Futera Unique World Football,,,,,,,,,
56,Shay Given,#N/A,Base,,,,,,420,2010-11 Futera Unique World Football,,,,,,,,,
57,Roberto Colautti,#N/A,Base,,,,,,663,2010-11 Futera Unique World Football,,,,,,,,,
58,Bosko Jankovic,#N/A,Base,,,,,,593,2010-11 Futera Unique World Football,,,,,,,,,
59,Sami Hyypia,#N/A,Base,,,,,,493,2010-11 Futera Unique World Football,,,,,,,,,
60,Carlos Salcido,#N/A,Base,,,,,,532,2010-11 Futera Unique World Football,,,,,,,,,
61,Arni Arason,#N/A,2,,,,,,404,2010-11 Futera Unique World Football,,,,,,,,,
62,Mariusz Jop,#N/A,Base,,,,,,499,2010-11 Futera Unique World Football,,,,,,,,,
63,Sergei Semak,#N/A,Base,,,,,,629,2010-11 Futera Unique World Football,,,,,,,,,
64,Yakubi Aiyegbeni,#N/A,Base,,,,,,652,2010-11 Futera Unique World Football,,,,,,,,,
65,Bosko Jankovic,#N/A,Base,,,,,,593,2010-11 Futera Unique World Football,,,,,,,,,
66,Giovani Lo Celso,#N/A,Base,,,,,,TOT13,2020-21 Topps Match Attax Champions League,,,,,,,,,
67,Wilmar Barrios,#N/A,Base,,,,,,ZEN8,2020-21 Topps Match Attax Champions League,,,,,,,,,
68,Scott Arfield,#N/A,Base,,,,,,RNG6,2020-21 Topps Match Attax Champions League,,,,,,,,,
69,Demba Ba,#N/A,Base,,,,,,IBA5,2020-21 Topps Match Attax Champions League,,,,,,,,,
70,Luka Jovic,#N/A,Base,,,,,,REA17,2020-21 Topps Match Attax Champions League,,,,,,,,,
71,Dario Benedetto,#N/A,Base,,,,,,Mar-09,2020-21 Topps Match Attax Champions League,,,,,,,,,
72,Serge Gnabry,#N/A,Base,,,,,,BAY16,2020-21 Topps Match Attax Champions League,,,,,,,,,
73,SL Benfica Badge,#N/A,Base,,,,,,BEN1,2020-21 Topps Match Attax Champions League,,,,,,,,,
74,Florian Neuhaus,#N/A,All Rounder,,,,,,BMG3,2020-21 Topps Match Attax Champions League,,,,,,,,,
75,Kevin Kampl,#N/A,Base,,,,,,RBL14,2020-21 Topps Match Attax Champions League,,,,,,,,,
76,Setfan Savic,#N/A,Base,,,,,,ATL8,2020-21 Topps Match Attax Champions League,,,,,,,,,
77,Emre Can,#N/A,Base,,,,,,DOR12,2020-21 Topps Match Attax Champions League,,,,,,,,,
78,Boli Bolingoli,#N/A,Base,,,,,,CEL10,2020-21 Topps Match Attax Champions League,,,,,,,,,
79,Ricardo Pereira,#N/A,Base,,,,,,LEI7,2020-21 Topps Match Attax Champions League,,,,,,,,,
80,Rodri,27,Base,,,,,,MCI9,2020-21 Topps Match Attax Champions League,,,,,,,,,
81,Yevhen Konoplyanka,#N/A,Base,,,,,,SHA4,2020-21 Topps Match Attax Champions League,,,,,,,,,
82,Paul Pogba,30,Base,,,,,,MNU11,2020-21 Topps Match Attax Champions League,,,,,,,,,
83,Koke,#N/A,Star Player,,,,,,SP3,2020-21 Topps Match Attax Champions League,,,,,,,,,
84,Charles De Ketelaere,22,Rising Star,,,,,,RS4,2020-21 Topps Match Attax Champions League,,,,,,,,,
85,Marcus Rashford,26,Club Hero,,,,,,MNU2,2020-21 Topps Match Attax Champions League,,,,,,,,,
86,Yann Sommer,#N/A,Star Player,,,,,,SP13,2020-21 Topps Match Attax Champions League,,,,,,,,,
87,Axel Witsel,#N/A,Man of the Match,,,,,,MM15,2020-21 Topps Match Attax Champions League,,,,,,,,,
88,FC Barcelona Badge,#N/A,Base,,,,,,BAR1,2020-21 Topps Match Attax Champions League,,,,,,,,,
89,Virgil Van Dijk,32,Base,,,,,,LIV9,2020-21 Topps Match Attax Champions League,,,,,,,,,
90,Alphonso Davis,#N/A,Base,,,,,,BAY14,2020-21 Topps Match Attax Champions League,,,,,,,,,
91,Serge Gnabry,#N/A,Star Player,,,,,,SP10,2020-21 Topps Match Attax Champions League,,,,,,,,,
92,Marcos Llorente,#N/A,Man of the Match,,,,,,MM5,2020-21 Topps Match Attax Champions League,,,,,,,,,
93,Federico Bernardeschi,#N/A,Base,,,,,,6,2020 Panini Select UEFA Euro,,,,,,,,,
94,Robin Quaison,#N/A,Equalizers,,,,,,E15,2020 Panini Select UEFA Euro,,,,,,,,,
95,Llorenzo Insigne,#N/A,Base,,,,,,7,2020 Panini Select UEFA Euro,,,,,,,,,
96,Emerson Palmeri,#N/A,Base,,,,,,2,2020 Panini Select UEFA Euro,,,,,,,,,
97,Casemiro,#N/A,Base,,,,,,233,2017-18 Panini Select Soccer,,,,,,,,,
98,Isco,#N/A,Equalizers,,,,,,EQ33,2017-18 Panini Select Soccer,,,,,,,,,
99,Dani Carvajal,#N/A,Base,,,,,,237,2017-18 Panini Select Soccer,,,,,,,,,
100,Ashley Barnes,#N/A,Stainless Stars,/50,,,,,ST-8,2019-20 Panini Impeccable Premier League Soccer,,,,,,,,,
101,Robbie Brady,#N/A,Base,,,,,,248,2019-20 Panini Prizm Premier League,,,,,,,,,
102,David Brooks,#N/A,Base,,,,,,141,2019-20 Panini Prizm Premier League,,,,,,,,,
103,Jefferson Lerma,#N/A,Base,,,,,,142,2019-20 Panini Prizm Premier League,,,,,,,,,
104,Jordan Ibe,#N/A,Base,,,,,,145,2019-20 Panini Prizm Premier League,,,,,,,,,
105,Lucas Torreira,#N/A,Base,,,,,,127,2019-20 Panini Prizm Premier League,,,,,,,,,
106,Ashley Barnes,#N/A,Base,,,,,,252,2019-20 Panini Prizm Premier League,,,,,,,,,
107,Andy Carrol,#N/A,Base,,,,,,56,2018-19 Topps Chrome Premier League Soccer,,,,,,,,,
108,Olof Mellberg,#N/A,Base,,,,,,17,2004-05 Topps Premier Stars,,,,,,,,,
109,Marcus Rashford,26,Star Player,,,,,,SP9,2020-21 Topps Match Attax Champions League,,,,,,,,,
110,Ruud Vormer,#N/A,Base,,,,,,48,2016-17 Topps UEFA Champions League Showcase,,,,,,,,,
111,Fran Beltran,#N/A,Base,,,,,,427,2019-20 Panini Chronicles Soccer,,,,,,,,,
112,Joaquin Correa,#N/A,Prestige Serie A,,,,,,248,2019-20 Panini Chronicles Soccer,,,,,,,,,
113,Pau Lopez,#N/A,Prestige Serie A,,,,,,275,2019-20 Panini Chronicles Soccer,,,,,,,,,
114,Nigel Martyn,#N/A,Base,,,,,,39,1999-00 Topps Merlin Premier Gold,,,,,,,,,
115,Jacob Laursen,#N/A,Base,,,,,,29,1999-00 Topps Merlin Premier Gold,,,,,,,,,
116,John O'Shea,#N/A,Base,,,,,,226,2016 Panini Prizm UEFA Euro Soccer ,,,,,,,,,
117,Christian Eriksen,#N/A,Optic Base,,,,,,120,2018-19 Panini Donruss Soccer,,,,,,,,,
118,Sergio Aguero,35,Optic Base,,,,,,37,2018-19 Panini Donruss Soccer,,,,,,,,,
119,Arkadiusz Milik,#N/A,Optic Base,,,,,,71,2018-19 Panini Donruss Soccer,,,,,,,,,
120,Jannik Vestergaard,#N/A,Mosaic,,,,,,151,2019-20 Panini Chronicles Soccer,,,,,,,,,
121,Giovani Lo Celso,#N/A,Optic Base,,,,,,92,2018-19 Panini Donruss Soccer,,,,,,,,,
122,Leonardo Ulloa,#N/A,Base,,,,,,158,2014-15 Topps Premier Club,,,,,,,,,
123,Winston Reid,#N/A,Base,,,,,,135,2014-15 Topps Premier Club,,,,,,,,,
124,Craig Dawson,#N/A,Base,,,,,,128,2014-15 Topps Premier Club,,,,,,,,,
125,Alex Kral RC,#N/A,Unlimited Potential,,,,,,UP18,2020 Panini Select UEFA Euro,,,,,,,,,
126,Fredrik Jense,#N/A,Mezzanine - Silver,,,,,,115,2020 Panini Select UEFA Euro,,,,,,,,,
127,Emre Can,#N/A,Mezzanine - Silver,,,,,,169,2020 Panini Select UEFA Euro,,,,,,,,,
128,Emerson Palmeri,#N/A,Base,,,,,,2,2020 Panini Select UEFA Euro,,,,,,,,,
129,Mohamed Salah,31,Scorers Club,,,,,,SC6,2018 Panini Prizm World Cup,,,,,,,,Mohamed Salah #SC6 Scorers Club 2018 Panini Prizm World Cup,
130,Robert Lewandowski,35,Future Stars,,,,HGA,9,725,2010-11 Futera Unique World Football,,A,Y,Y,65,Y,Y,Robert Lewandowski #725 Future Stars HGA 9 2010-11 Futera Unique World Football,
131,Bukayo Saka,22,Tie Dye,/49,,,,,190,2022-23 Panini Prizm Premier League,,B4,Y,Y,1,Y,Y,Bukayo Saka #190 Tie Dye /49 2022-23 Panini Prizm Premier League,
132,Lionel Messi,36,Dream Team Patch,/7,,Y,,,DT14,2021 Futera World Football Fans' Selection Edition 1,,A1,Y,Y,2,Y,Y,Lionel Messi #DT14 Dream Team Patch /7 Patch 2021 Futera World Football Fans' Selection Edition 1,
133,Alexandre Pato,#N/A,Heroes,,,,,,HER87,2010-11 Futera Unique World Football,,,,,,,,,
134,Bastian Schweinsteiger,39,Base,,,,,,628,2010-11 Futera Unique World Football,,,,,,,,,
135,Neymar Jr,31,Historic Ticket,,,,,,HTNJR,2019-20 Panini Chronicles Soccer,,A5,Y,,,Y,,Neymar Jr #HTNJR Historic Ticket 2019-20 Panini Chronicles Soccer,
136,Gianluigi Buffon,45,Historic Ticket,,,,,,HTBUF,2019-20 Panini Chronicles Soccer,,A5,Y,,,Y,,Gianluigi Buffon #HTBUF Historic Ticket 2019-20 Panini Chronicles Soccer,
137,Reiss Nelson,23,Rookie Ticket,,,,,,RT13,2019-20 Panini Chronicles Soccer,,A5,N,,,Y,,Reiss Nelson #RT13 Rookie Ticket 2019-20 Panini Chronicles Soccer,
138,Reiss Nelson,23,Rookie Ticket Red,,,,,,RT13,2019-20 Panini Chronicles Soccer,,A5,N,,,Y,,Reiss Nelson #RT13 Rookie Ticket Red 2019-20 Panini Chronicles Soccer,
139,Frenkie De Jong,,Rookie Ticket,,,,,,RT3,2019-20 Panini Chronicles Soccer,,,,,,,,,
140,Lionel Messi,36,Pitch Kings Level 1,,,,,,PK1,2019-20 Panini Chronicles Soccer,,A5,N,,,Y,,Lionel Messi #PK1 Pitch Kings Level 1 2019-20 Panini Chronicles Soccer,
141,Mesut Ozil,35,Historic Ticket,,,,,,HTOZL,2019-20 Panini Chronicles Soccer,,A6,Y,,,Y,,Mesut Ozil #HTOZL Historic Ticket 2019-20 Panini Chronicles Soccer,
142,Javier Hernandez,35,Historic Ticket,,,,,,HTJH,2019-20 Panini Chronicles Soccer,,A6,Y,,,Y,,Javier Hernandez #HTJH Historic Ticket 2019-20 Panini Chronicles Soccer,
143,Cristiano Ronaldo,,Mezzanine - Silver - Red Name Plate,,,,,,136,2020 Panini Select UEFA Euro,,,,,,,,,
144,Stefano Sensi RC,,Base,,,,,,265,2020 Panini Select UEFA Euro,,,,,,,,,
145,Timo Wermer,,Mezzanine - Silver,,,,,,175,2020 Panini Select UEFA Euro,,,,,,,,,
146,Timo Wermer,,Mezzanine - Silver,,,,,,175,2020 Panini Select UEFA Euro,,,,,,,,,
147,Federico Chiesa,,Base,,,,,,4,2020 Panini Select UEFA Euro,,,,,,,,,
